Frequency,One,Two,Three,Four
1.60,9.180295,10.970741,12.832203,14.555861
1.70,9.449120,11.446910,13.295251,15.112621
1.80,9.591663,11.654167,13.617356,15.682219
1.90,9.816003,12.009703,14.168545,16.291910
2.10,10.271835,12.709662,15.161781,17.605199
2.20,10.559145,13.161213,15.705503,18.333512
2.30,10.812619,13.551203,16.419925,19.070488
2.40,11.303948,14.290249,17.012576,19.946629
2.50,11.680422,14.784997,18.000810,20.837943
2.60,11.819754,15.144117,18.616467,21.879148
2.70,12.205421,15.830461,19.379963,22.940715
2.90,13.095172,17.196198,21.155430,25.344653
3.00,13.547215,18.160459,22.210073,26.759212
3.10,14.048780,18.870817,23.639259,28.284924
3.20,14.504283,19.726480,24.940771,29.857179
